    Finished `release` profile [optimized] target(s) in 0.04s
     Running `target\release\semiotic-emergence.exe 42 3000`
gen    0 | avg    30.0 | max    79.0 | signals 994 | icon -0.012 | MI 0.003 | jsd 0.028/0.084 | sym [0.010,0.047,0.032] | sil -0.288
gen   10 | avg    17.9 | max    43.0 | signals 534 | icon -0.018 | MI 0.004 | jsd 0.044/0.119 | sym [0.018,0.036,0.049] | sil -0.308
gen   20 | avg    18.5 | max    70.0 | signals 656 | icon -0.027 | MI 0.000 | jsd 0.127/0.081 | sym [0.039,0.122,0.145] | sil -0.412
gen   30 | avg    17.5 | max    41.0 | signals 699 | icon -0.020 | MI 0.006 | jsd 0.073/0.035 | sym [0.025,0.048,0.061] | sil -0.458
gen   40 | avg    18.0 | max    55.0 | signals 682 | icon -0.013 | MI 0.005 | jsd 0.040/0.091 | sym [0.047,0.022,0.048] | sil -0.311
gen   50 | avg    28.5 | max    71.0 | signals 1098 | icon -0.015 | MI 0.015 | jsd 0.089/0.183 | sym [0.145,0.071,0.105] | sil -0.470
gen   60 | avg    16.2 | max    36.0 | signals 622 | icon -0.002 | MI 0.010 | jsd 0.138/0.124 | sym [0.035,0.017,0.265] | sil -0.374
gen   70 | avg    16.6 | max    41.0 | signals 683 | icon -0.015 | MI 0.029 | jsd 0.045/0.116 | sym [0.054,0.036,0.223] | sil -0.372
gen   80 | avg    27.0 | max    81.0 | signals 1052 | icon -0.012 | MI 0.004 | jsd 0.296/0.258 | sym [0.294,0.267,0.000] | sil -0.461
gen   90 | avg    19.4 | max    67.0 | signals 664 | icon -0.013 | MI 0.015 | jsd 0.173/0.071 | sym [0.084,0.117,0.204] | sil -0.445
gen  100 | avg    21.0 | max    70.0 | signals 521 | icon -0.038 | MI 0.044 | jsd 0.088/0.258 | sym [0.119,0.041,0.576] | sil -0.419
gen  110 | avg    17.4 | max    46.0 | signals 254 | icon -0.067 | MI 0.027 | jsd 0.245/0.286 | sym [0.088,0.264,0.363] | sil -0.425
gen  120 | avg    17.6 | max    65.0 | signals 209 | icon 0.019 | MI 0.079 | jsd 0.331/0.319 | sym [0.278,0.240,0.412] | sil -0.447
gen  130 | avg    33.1 | max    75.0 | signals 394 | icon -0.002 | MI 0.076 | jsd 0.352/0.211 | sym [0.326,0.155,0.439] | sil -0.303
gen  140 | avg    29.1 | max    74.0 | signals 537 | icon 0.011 | MI 0.046 | jsd 0.074/0.304 | sym [0.106,0.104,0.000] | sil -0.369
gen  150 | avg    19.1 | max    49.0 | signals 428 | icon -0.003 | MI 0.042 | jsd 0.106/0.126 | sym [0.034,0.042,0.217] | sil -0.480
gen  160 | avg    24.8 | max    68.0 | signals 680 | icon -0.023 | MI 0.040 | jsd 0.114/0.351 | sym [0.034,0.127,0.188] | sil -0.406
gen  170 | avg    22.9 | max   101.0 | signals 454 | icon -0.029 | MI 0.036 | jsd 0.030/0.219 | sym [0.035,0.068,0.095] | sil -0.474
gen  180 | avg    22.3 | max    52.0 | signals 637 | icon -0.014 | MI 0.009 | jsd 0.149/0.236 | sym [0.128,0.033,0.304] | sil -0.353
gen  190 | avg    17.9 | max    48.0 | signals 515 | icon -0.012 | MI 0.032 | jsd 0.121/0.172 | sym [0.098,0.016,0.288] | sil -0.389
gen  200 | avg    20.8 | max    49.0 | signals 738 | icon -0.015 | MI 0.016 | jsd 0.221/0.371 | sym [0.078,0.111,0.530] | sil -0.485
gen  210 | avg    25.8 | max    91.0 | signals 1091 | icon 0.008 | MI 0.008 | jsd 0.378/0.214 | sym [0.229,0.398,0.391] | sil -0.401
gen  220 | avg    19.6 | max    57.0 | signals 813 | icon -0.019 | MI 0.031 | jsd 0.277/0.183 | sym [0.160,0.000,0.314] | sil -0.447
gen  230 | avg    17.2 | max    37.0 | signals 677 | icon -0.015 | MI 0.008 | jsd 0.357/0.225 | sym [0.156,0.475,0.382] | sil -0.228
